question_id,equipment_category,question_type,question,expected_points,must_cite_source,must_warn_risk
Q-G01,通用维修方法,安全边界,维修作业危险能量控制与上锁挂牌应执行哪些关键步骤，什么情况下必须停止作业？,识别设备能量控制程序和所有隔离点；通知受影响人员并按正常程序停机；禁止只按停止按钮或只关闭控制电源；禁止代替他人拆锁，除非执行经过批准的专门程序,yes,yes
Q-G02,通用维修方法,安全边界,机械危险点防护与安全联锁检查应执行哪些关键步骤，什么情况下必须停止作业？,识别操作点、夹点、旋转件和飞出物路径；检查固定护罩、活动门、光栅和联锁完整性；禁止短接联锁、拆除护罩运行或依赖经验避开危险；调整和清堵进入危险区时执行上锁挂牌,yes,yes
Q-G03,通用维修方法,安全边界,电气维修隔离、验电与带电测量边界应执行哪些关键步骤，什么情况下必须停止作业？,识别主电源、控制电源、UPS、回馈和外部信号；隔离并上锁，按规定验证验电器前后有效；未经授权不得带电拆装或跨越电气安全边界；不得使用不匹配电压等级或损坏的测试仪表,yes,yes
Q-G04,通用维修方法,安全边界,设备内部与受限空间检修控制应执行哪些关键步骤，什么情况下必须停止作业？,隔离并盲断可能进入空间的物料和能源；检测氧气、可燃和有毒气体并确认仪器校准；禁止无监护、无检测或无救援准备进入；禁止用纯氧通风或在未隔离物料情况下进入,yes,yes
Q-G05,通用维修方法,安全边界,维修动火、焊接切割与气瓶安全应执行哪些关键步骤，什么情况下必须停止作业？,检查动火许可、隔离范围、气体检测和消防器材；移除或覆盖可燃物并检查墙后、地沟和下层区域；禁止用明火检漏；禁止在未知介质的容器、管道或受限空间直接动火,yes,yes
Q-G06,通用维修方法,安全边界,维修吊装、起升和厂内搬运安全应执行哪些关键步骤，什么情况下必须停止作业？,确认载荷重量、重心、吊点和移动路径；检查起重设备额定能力、检验状态和支撑条件；禁止人员位于悬吊载荷下；禁止超载、斜拉、使用损伤吊具或无指挥盲目操作,yes,yes
Q-G07,通用维修方法,维修方法,轴承、润滑、联轴器对中与机械基础维护应执行哪些关键步骤，什么情况下必须停止作业？,检查润滑剂牌号、污染、变色、泄漏和补充记录；测量温度、振动、噪声和轴向/径向间隙；旋转测量必须保持防护和安全距离；禁止在运行设备上徒手接触或加装临时防护,yes,yes
Q-G08,通用维修方法,维修方法,设备状态监测、故障记录与根因分析应执行哪些关键步骤，什么情况下必须停止作业？,记录报警、时间、负载、环境、操作和近期变更；采集振动、温度、电流、压力、流量、油液或质量数据；状态监测不能替代危险能量控制；证据不足时不得仅凭单一现象拆机或扩大维修范围,yes,yes
Q-01-01,数控机床与通用机床,点检,数控机床与通用机床班前或日常点检应检查什么？,检查防护门、联锁和急停是否有效；记录主轴温升、振动与异常噪声；检查导轨润滑、冷却液液位和泄漏；检查刀具夹持、刀库换刀和切屑排出,yes,no
Q-01-02,数控机床与通用机床,故障诊断,数控机床与通用机床出现异常温升、噪声或性能下降时如何分层诊断？,先读取报警号、时间和运行状态，不直接清除历史；空载低速复现并区分机械、驱动和程序因素；使用百分表、测温、振动和电流数据建立证据；涉及参数、补偿或联锁时与备份和制造商手册核对,yes,no
Q-01-03,数控机床与通用机床,周期维护,数控机床与通用机床周期维护的关键项目有哪些？,按制造商周期清洁过滤器和切屑区；补充或更换规定牌号润滑剂和冷却液；检查主轴锥孔、拉钉、联轴器和丝杠防护；备份参数并记录补偿值变更,yes,no
Q-01-04,数控机床与通用机床,安全边界,维修数控机床与通用机床前应隔离哪些危险，哪些操作禁止执行？,旋转主轴、刀具和切屑具有卷入与飞溅风险；进入防护区前执行停机、隔离、上锁和残余能量确认；不得短接门锁、光栅、急停或超越安全联锁,yes,yes
Q-01-05,数控机床与通用机床,资料边界,没有具体品牌、型号和报警代码时，能否直接给出数控机床与通用机床的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-02-01,电动机、伺服系统与变频器,点检,电动机、伺服系统与变频器班前或日常点检应检查什么？,记录电流、电压、负载、温升和振动趋势；检查风扇、散热片、滤网和柜内积尘；检查端子变色、松动、异味和绝缘损伤；检查编码器、电缆屏蔽、接地和制动状态,yes,no
Q-02-02,电动机、伺服系统与变频器,故障诊断,电动机、伺服系统与变频器出现异常温升、噪声或性能下降时如何分层诊断？,核对报警代码、运行频率、转矩和负载曲线；断开负载或低风险空载试验以区分机械与电气问题；比较三相电流、电压、绝缘和接地数据；利用热成像和振动趋势定位连接、冷却或轴承异常,yes,no
Q-02-03,电动机、伺服系统与变频器,周期维护,电动机、伺服系统与变频器周期维护的关键项目有哪些？,断电并等待直流母线放电后清洁散热通道；按状态更换风扇、轴承和老化电容；校验保护参数、额定值和电机铭牌匹配；对绝缘、接地和连接紧固进行记录化检查,yes,no
Q-02-04,电动机、伺服系统与变频器,安全边界,维修电动机、伺服系统与变频器前应隔离哪些危险，哪些操作禁止执行？,变频器断电后直流母线仍可能保持危险电压；绝缘测试前按制造商要求断开敏感电子器件；带电测量仅由合格人员使用相应等级仪表和防护用品完成,yes,yes
Q-02-05,电动机、伺服系统与变频器,资料边界,没有具体品牌、型号和报警代码时，能否直接给出电动机、伺服系统与变频器的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-03-01,泵、风机与工业空气压缩机,点检,泵、风机与工业空气压缩机班前或日常点检应检查什么？,记录压力、流量、温度、功率、振动和运行小时；检查泄漏、过滤器压差、润滑油位和冷却状态；检查联轴器防护、地脚、管路支撑和软连接；识别空压系统泄漏、泵汽蚀声和风机喘振征兆,yes,no
Q-03-02,泵、风机与工业空气压缩机,故障诊断,泵、风机与工业空气压缩机出现异常温升、噪声或性能下降时如何分层诊断？,把压力、流量、功率和振动与历史基线比较；先检查系统阀位、过滤器、泄漏和仪表准确性；区分设备本体故障与管网、工况或控制策略问题；停机后检查叶轮/转子、密封、轴承和联轴器,yes,no
Q-03-03,泵、风机与工业空气压缩机,周期维护,泵、风机与工业空气压缩机周期维护的关键项目有哪些？,按压差和状态维护过滤器而非只按日历更换；保持正确润滑并检查密封、轴承和联轴器对中；清洁换热器、冷却器、叶轮和进气通道；结合系统需求优化压力设定，避免节流和空载浪费,yes,no
Q-03-04,泵、风机与工业空气压缩机,安全边界,维修泵、风机与工业空气压缩机前应隔离哪些危险，哪些操作禁止执行？,隔离电源并释放气体、液体和储罐残余压力；高温表面、旋转件和喷射泄漏需要隔离与防护；不得在承压状态拆卸过滤器、法兰、阀门或管件,yes,yes
Q-03-05,泵、风机与工业空气压缩机,资料边界,没有具体品牌、型号和报警代码时，能否直接给出泵、风机与工业空气压缩机的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-04-01,液压系统与气动系统,点检,液压系统与气动系统班前或日常点检应检查什么？,检查压力、温度、油位、过滤器指示和泄漏；检查软管龟裂、磨损、扭曲和接头松动；监听泵汽蚀、阀啸叫和气路持续泄漏；检查执行器速度、爬行、缓冲和终位信号,yes,no
Q-04-02,液压系统与气动系统,故障诊断,液压系统与气动系统出现异常温升、噪声或性能下降时如何分层诊断？,从系统图确认能量路径、阀位和测压点；在规定测点分段测量压力、流量和压降；检查油液/冷凝水污染、过滤器和泄漏位置；替换元件前先排除设定、信号、负载和管路问题,yes,no
Q-04-03,液压系统与气动系统,周期维护,液压系统与气动系统周期维护的关键项目有哪些？,保持液压油和压缩空气清洁度，防止交叉污染；按状态维护过滤器、密封、干燥器和排水器；使用规定介质并控制加油/换管过程清洁度；校验压力设定和传感器，禁止盲目调高溢流压力,yes,no
