entry_id,category_code,equipment_category,topic_type,risk_level,relative_path,source_ids,source_verified,review_status,updated_at
KB-00-G01,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/01_危险能量控制与上锁挂牌.md,S001|S002|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G02,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/02_机械防护与安全联锁.md,S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G03,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/03_电气维修安全.md,S001|S002|S005|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G04,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/04_受限空间设备检修.md,S001|S010|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G05,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/05_动火焊接与气瓶安全.md,S006|S010|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G06,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/06_吊装与搬运安全.md,S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G07,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/07_轴承润滑与对中.md,S003|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-00-G08,00,通用维修方法,安全与方法,high,00_通用安全与维修方法/08_状态监测与根因分析.md,S011|S012|S013|S015|S017|S018|S019,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-01,01,数控机床与通用机床,原理,medium,01_机床与数控设备/01_工作原理与主要部件.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-02,01,数控机床与通用机床,点检,medium,01_机床与数控设备/02_日常点检.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-03,01,数控机床与通用机床,保养,medium,01_机床与数控设备/03_周期维护.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-04,01,数控机床与通用机床,故障,medium,01_机床与数控设备/04_常见故障与可能原因.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-05,01,数控机床与通用机床,诊断,high,01_机床与数控设备/05_分层诊断流程.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-06,01,数控机床与通用机床,安全,high,01_机床与数控设备/06_维修安全隔离.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-01-07,01,数控机床与通用机床,验收,high,01_机床与数控设备/07_复机验收与记录.md,S001|S003|S004|S016|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-01,02,电动机、伺服系统与变频器,原理,medium,02_电机伺服与变频器/01_工作原理与主要部件.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-02,02,电动机、伺服系统与变频器,点检,medium,02_电机伺服与变频器/02_日常点检.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-03,02,电动机、伺服系统与变频器,保养,medium,02_电机伺服与变频器/03_周期维护.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-04,02,电动机、伺服系统与变频器,故障,medium,02_电机伺服与变频器/04_常见故障与可能原因.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-05,02,电动机、伺服系统与变频器,诊断,high,02_电机伺服与变频器/05_分层诊断流程.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-06,02,电动机、伺服系统与变频器,安全,high,02_电机伺服与变频器/06_维修安全隔离.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-02-07,02,电动机、伺服系统与变频器,验收,high,02_电机伺服与变频器/07_复机验收与记录.md,S001|S005|S015|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-01,03,泵、风机与工业空气压缩机,原理,medium,03_泵风机与空压机/01_工作原理与主要部件.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
